option_type,S,K,r,q,sigma,T,t,value
EP,147.0,153.0,0.014,0.193,0.246,3.0,0.1,64.85724361569129
EC,77.0,89.0,0.023,0.028,0.128,3.0,0.04,2.307261142522375
EP,140.0,158.0,0.091,0.062,0.319,3.0,1.58,25.886803914667823
EC,105.0,105.0,0.065,0.183,0.39,4.0,2.23,9.881671442764208
EP,57.0,72.0,0.092,0.019,0.352,1.0,0.39,14.1977036303686
EP,92.0,87.0,0.076,0.141,0.119,5.0,3.89,4.643082980221351
EP,68.0,82.0,0.05,0.016,0.196,5.0,0.01,11.539928763712716
EP,88.0,103.0,0.036,0.025,0.2,5.0,3.98,16.05300477795261
EP,120.0,137.0,0.036,0.018,0.339,3.0,1.27,28.365528994934998
EC,74.0,65.0,0.013,0.196,0.178,1.0,0.91,7.804537440055995
EP,69.0,51.0,0.086,0.18,0.377,5.0,1.58,10.626939982347283
EP,117.0,114.0,0.057,0.047,0.165,5.0,0.87,9.524447783820314
EC,85.0,93.0,0.054,0.128,0.31,3.0,2.75,1.9225636635419754
EP,112.0,129.0,0.067,0.169,0.173,3.0,2.65,20.64344565427872
EC,71.0,72.0,0.048,0.012,0.335,2.0,1.91,2.4909113210897544
EP,118.0,136.0,0.071,0.005,0.29,5.0,0.85,18.653430587324735
EC,61.0,64.0,0.085,0.023,0.282,2.0,0.08,10.873722748549909
EC,65.0,75.0,0.029,0.16,0.381,1.0,0.46,2.3655403384823384
EP,83.0,67.0,0.03,0.129,0.205,2.0,1.88,0.00338955893453724
EP,126.0,112.0,0.073,0.078,0.178,4.0,0.65,7.85453586495229
BC,71.0,64.0,0.097,0.012,0.303,2.0,1.32,0.7300686988352927
EC,126.0,134.0,0.07,0.003,0.304,5.0,0.63,42.39228204859216
BC,133.0,135.0,0.045,0.132,0.146,1.0,0.54,0.3003663553222345
EC,144.0,126.0,0.059,0.027,0.329,4.0,2.59,33.04484170497517
EC,95.0,112.0,0.095,0.127,0.286,3.0,1.84,4.276690191174641
EC,133.0,118.0,0.01,0.038,0.2,2.0,1.55,15.277877197697407
EC,140.0,156.0,0.089,0.006,0.362,5.0,2.91,32.214276515521966
EP,55.0,45.0,0.05,0.052,0.147,5.0,0.58,1.988178079197791
EP,127.0,107.0,0.09,0.099,0.194,4.0,3.8,0.09507745664075928
EP,103.0,95.0,0.059,0.193,0.394,2.0,0.03,24.849718083934626
EC,136.0,142.0,0.038,0.043,0.315,1.0,0.02,13.537182296264191
EP,128.0,114.0,0.027,0.122,0.16,3.0,2.16,4.787801205429695
BP,62.0,72.0,0.087,0.079,0.124,3.0,0.26,0.5500754435930743
EP,64.0,60.0,0.022,0.104,0.295,3.0,2.65,3.21782618467498
EC,52.0,34.0,0.014,0.136,0.268,3.0,0.18,7.535875648120223
BC,55.0,73.0,0.069,0.142,0.371,4.0,2.51,0.23588791999972586
EP,76.0,80.0,0.063,0.002,0.145,3.0,1.99,4.004575878217608
EC,61.0,62.0,0.08,0.007,0.181,2.0,0.04,9.983379652098272
EC,100.0,115.0,0.022,0.023,0.319,1.0,0.69,2.314146174443273
EP,143.0,127.0,0.037,0.167,0.19,1.0,0.9,0.12687659315494226
EP,110.0,111.0,0.086,0.195,0.203,4.0,3.54,9.270111033781603
EP,54.0,53.0,0.04,0.137,0.147,2.0,0.75,6.1884535035020605
EC,131.0,116.0,0.016,0.017,0.325,1.0,0.62,18.95393845254067
EC,121.0,134.0,0.036,0.184,0.336,2.0,1.15,4.797895639108688
EC,83.0,100.0,0.08,0.086,0.208,1.0,0.18,1.2932685245745628
EP,53.0,66.0,0.051,0.135,0.136,4.0,2.97,16.537279755239716
EP,77.0,96.0,0.023,0.04,0.213,5.0,0.87,26.859191006724437
EC,126.0,137.0,0.023,0.081,0.304,5.0,2.52,11.20136866348776
BC,91.0,102.0,0.1,0.127,0.362,5.0,1.95,0.37013332080230077
EC,93.0,93.0,0.084,0.007,0.145,3.0,1.19,14.269530637003164
EC,98.0,115.0,0.036,0.141,0.241,1.0,0.48,0.9179374038699724
BC,58.0,52.0,0.022,0.06,0.328,4.0,2.68,0.6168116863499435
EC,69.0,78.0,0.097,0.101,0.37,5.0,4.83,1.3018123846087502
EC,116.0,134.0,0.099,0.149,0.372,2.0,1.42,5.411669744219196
EP,103.0,113.0,0.086,0.194,0.282,2.0,0.3,27.618070223930886
EP,134.0,114.0,0.077,0.06,0.271,3.0,2.8,0.5882714967420526
EP,88.0,94.0,0.045,0.077,0.149,2.0,1.52,8.303537577840444
EP,92.0,75.0,0.095,0.096,0.142,5.0,1.41,2.0841448749432363
EP,69.0,71.0,0.047,0.122,0.216,1.0,0.9,3.400707378323254
EP,52.0,34.0,0.064,0.027,0.197,5.0,1.76,0.34301943195352047
EC,150.0,161.0,0.02,0.012,0.31,5.0,1.84,28.827848650926256
EC,65.0,84.0,0.037,0.17,0.388,4.0,0.8,3.053037091125085
BC,137.0,124.0,0.057,0.157,0.157,4.0,2.22,0.35592554449499064
EP,108.0,110.0,0.081,0.015,0.113,1.0,0.51,2.6663716254735377
EP,116.0,132.0,0.061,0.043,0.128,5.0,1.51,13.628407679717014
EC,89.0,76.0,0.023,0.178,0.227,1.0,0.06,7.023627764754522
EC,62.0,68.0,0.08,0.147,0.109,4.0,2.28,0.24879742637221813
EC,113.0,113.0,0.075,0.016,0.121,3.0,0.92,15.166665303437185
EC,72.0,52.0,0.085,0.046,0.21,5.0,0.53,24.356442478070203
EC,76.0,63.0,0.077,0.059,0.307,5.0,3.84,16.723227985724748
EC,108.0,95.0,0.053,0.141,0.177,1.0,0.03,8.57505936658196
EC,110.0,108.0,0.037,0.176,0.266,3.0,2.45,5.440249501414854
BP,63.0,77.0,0.062,0.031,0.369,2.0,0.39,0.48419159270945306
EC,81.0,76.0,0.078,0.058,0.226,1.0,0.14,9.629223601168903
EP,100.0,84.0,0.073,0.026,0.19,4.0,1.04,2.310351987929254
EC,104.0,103.0,0.067,0.017,0.233,3.0,1.09,17.900327630349253
EP,98.0,104.0,0.011,0.192,0.37,4.0,3.18,24.381669194970506
EC,110.0,95.0,0.096,0.159,0.183,5.0,1.97,7.33871568377182
EC,139.0,147.0,0.094,0.037,0.227,2.0,1.5,7.079445090532701
EC,116.0,105.0,0.042,0.126,0.126,2.0,1.41,7.214736756172741
EP,107.0,126.0,0.052,0.044,0.134,3.0,1.36,18.0771919674133
EC,140.0,150.0,0.018,0.1,0.388,5.0,1.19,16.623040529391794
EC,52.0,39.0,0.034,0.134,0.1,4.0,1.9,3.9543380062522964
EP,100.0,108.0,0.019,0.051,0.185,2.0,0.81,15.025965312491138
EC,83.0,82.0,0.058,0.024,0.358,2.0,1.86,5.107324396837349
EP,86.0,99.0,0.022,0.105,0.163,1.0,0.59,15.916995261290594
EP,101.0,98.0,0.036,0.074,0.289,2.0,1.75,4.696476719504794
EC,101.0,118.0,0.052,0.112,0.19,4.0,1.03,2.2307146108888922
EC,112.0,124.0,0.039,0.13,0.118,3.0,2.57,0.11894842624220514
EP,129.0,122.0,0.012,0.094,0.367,1.0,0.15,16.959065398711083
BP,137.0,122.0,0.072,0.148,0.301,1.0,0.64,0.2734773526217721
EC,50.0,47.0,0.089,0.14,0.318,2.0,1.72,4.390888202655489
EP,74.0,60.0,0.049,0.143,0.215,3.0,1.73,3.417150564646761
EP,105.0,94.0,0.05,0.142,0.257,2.0,1.58,3.4818442909618703
EC,94.0,98.0,0.048,0.098,0.319,2.0,1.12,7.291012442674781
EC,140.0,123.0,0.092,0.007,0.29,2.0,1.27,28.211278907418446
EP,136.0,127.0,0.031,0.06,0.126,5.0,1.24,13.165419422569542
EP,95.0,101.0,0.051,0.126,0.255,5.0,0.35,31.414405806439973
BC,124.0,133.0,0.054,0.141,0.165,3.0,2.87,0.0897932374460909
EC,94.0,74.0,0.036,0.001,0.119,4.0,1.28,26.928144693549434
BP,100.0,115.0,0.093,0.091,0.202,1.0,0.39,0.7444748571988848
EC,90.0,90.0,0.058,0.179,0.177,5.0,4.78,1.8843375183899482
EC,76.0,89.0,0.041,0.167,0.175,3.0,2.06,0.2740385140014694
EP,82.0,92.0,0.041,0.142,0.113,5.0,4.64,12.763844928467918
EP,142.0,150.0,0.014,0.162,0.394,4.0,2.24,50.340231588485
EC,80.0,66.0,0.084,0.031,0.365,2.0,1.12,19.91257592136916
EC,104.0,119.0,0.078,0.166,0.112,2.0,1.5,0.03439159451464091
EC,85.0,87.0,0.039,0.087,0.267,3.0,1.17,7.250308939814865
EP,141.0,139.0,0.08,0.103,0.239,3.0,2.18,11.491347118665807
EC,128.0,114.0,0.026,0.083,0.165,1.0,0.26,11.70542344381768
EP,56.0,43.0,0.045,0.054,0.391,5.0,3.21,4.754877474142317
EP,140.0,154.0,0.069,0.044,0.35,2.0,1.87,15.919713802413995
EC,91.0,85.0,0.044,0.096,0.275,2.0,0.38,10.290860157641532
EP,91.0,94.0,0.063,0.005,0.139,4.0,3.38,3.794608603966317
EC,59.0,47.0,0.079,0.156,0.332,5.0,1.16,7.458314273756624
BP,80.0,68.0,0.083,0.152,0.206,5.0,4.34,0.2053494928816257
EP,63.0,82.0,0.085,0.105,0.208,4.0,2.77,19.236795200475548
BP,121.0,111.0,0.069,0.099,0.386,4.0,1.82,0.3216765405363469
EP,60.0,56.0,0.022,0.08,0.157,3.0,0.64,6.87383396403585
EC,57.0,50.0,0.013,0.145,0.389,3.0,0.41,6.73724434853213
EP,134.0,128.0,0.033,0.134,0.191,3.0,1.28,20.026629201296643
EC,130.0,119.0,0.042,0.098,0.118,2.0,1.91,10.321026065816781
EC,133.0,133.0,0.016,0.012,0.392,4.0,3.46,15.259860369009367
BC,107.0,114.0,0.023,0.062,0.295,4.0,2.47,0.4233484943560789
EC,83.0,97.0,0.058,0.147,0.306,4.0,0.96,4.131932551825884
EP,65.0,71.0,0.096,0.034,0.25,5.0,0.66,6.546007925557451
EP,143.0,132.0,0.017,0.047,0.348,2.0,1.51,9.165679424641944
EC,71.0,86.0,0.025,0.016,0.378,5.0,4.48,3.067055743320882
EP,140.0,129.0,0.065,0.008,0.202,4.0,3.89,0.3952547691233299
BC,54.0,65.0,0.018,0.059,0.145,2.0,0.99,0.06771461976290821
EC,146.0,151.0,0.04,0.161,0.383,1.0,0.69,7.777163991497602
EP,120.0,130.0,0.098,0.155,0.271,3.0,0.2,28.472869354387633
EC,100.0,87.0,0.046,0.099,0.106,1.0,0.75,11.564268822559939
EP,139.0,137.0,0.1,0.152,0.329,5.0,3.3,23.322922021431047
BP,82.0,75.0,0.02,0.196,0.341,2.0,0.83,0.539704710570312
EP,137.0,139.0,0.025,0.174,0.146,1.0,0.42,14.583462965168039
EC,69.0,71.0,0.043,0.125,0.197,4.0,1.6,2.320734570811286
BP,50.0,39.0,0.061,0.088,0.202,1.0,0.05,0.10317001295762876
EP,135.0,131.0,0.077,0.038,0.265,4.0,2.89,9.755392922888205
EP,117.0,107.0,0.016,0.128,0.274,5.0,1.84,31.546168483666506
EP,99.0,106.0,0.034,0.057,0.229,3.0,0.16,20.632665587776607
EP,120.0,120.0,0.099,0.038,0.335,2.0,0.31,13.442562262949131
EP,69.0,85.0,0.045,0.093,0.111,4.0,1.45,21.48944254517832
EP,147.0,141.0,0.091,0.072,0.394,2.0,0.64,19.325771551622474
EP,130.0,141.0,0.012,0.147,0.271,2.0,1.45,23.43895837474743
BC,103.0,87.0,0.062,0.047,0.314,5.0,0.53,0.5715170664980651
EP,62.0,54.0,0.025,0.185,0.378,4.0,0.24,22.638905666622403
EC,146.0,148.0,0.065,0.018,0.109,1.0,0.24,7.118127545760018
EC,100.0,104.0,0.049,0.127,0.302,1.0,0.42,5.37546731274546
EC,122.0,110.0,0.061,0.056,0.347,4.0,2.11,25.983358953483126
EP,55.0,40.0,0.061,0.069,0.101,2.0,0.57,0.00906383674586983
EP,110.0,92.0,0.038,0.168,0.386,1.0,0.69,3.2760547084889104
EP,147.0,167.0,0.035,0.134,0.279,4.0,0.53,61.46794688735319
EP,70.0,58.0,0.09,0.182,0.312,1.0,0.27,3.2543241071860045
EP,121.0,141.0,0.045,0.036,0.34,1.0,0.92,20.143768820003316
EC,83.0,75.0,0.082,0.066,0.313,3.0,1.45,15.88718022127307
EP,69.0,77.0,0.06,0.008,0.276,5.0,4.83,8.160782741244304
EP,59.0,51.0,0.068,0.091,0.172,4.0,1.91,2.6813701630563376
EP,133.0,121.0,0.053,0.111,0.263,5.0,3.28,15.373332073061398
EP,60.0,46.0,0.048,0.07,0.235,4.0,1.95,2.3920744244283814
BP,131.0,118.0,0.022,0.185,0.155,2.0,1.96,0.000744522684283712
EP,74.0,56.0,0.047,0.012,0.193,4.0,0.35,1.4396255805817546
EP,141.0,131.0,0.042,0.167,0.123,1.0,0.56,3.127978274153044
EP,129.0,125.0,0.071,0.113,0.341,4.0,3.28,13.5963287049332
EC,83.0,75.0,0.095,0.013,0.129,1.0,0.65,10.18287703051169
EC,128.0,108.0,0.039,0.158,0.324,4.0,2.09,14.60770423249867
EP,118.0,123.0,0.081,0.172,0.179,5.0,4.52,11.712138011631168
EP,92.0,94.0,0.096,0.094,0.11,5.0,1.87,5.897492005814229
